# Classifier readings of a label that are a cursive form of the label itself, not another character.
# A Quick review suspect mark whose label and reading make one of these pairs is not made (quiz_suspects).
# Decided by mkpoli on 2026-09-26 from eight sample crops per pair (the glyph ids below), among the 201
# (label, reading) pairs the corpus marks repeated at least 40 times. A pair is listed only when all eight
# samples were the label; 45 further pairs were answered "can't tell" and are not listed, so they stay marked.
# marks: how many corpus marks the pair held when it was decided.
label	label_code_point	reads_as	reads_as_code_point	marks	samples	decided
而	U+800C	る	U+308B	109	hi:34092805 hi:34367212 hi:34162097 hi:34162366 hi:34136858 hi:34043939 hi:34145200 hi:34310854	2026-09-26
廿	U+5EFF	サ	U+30B5	104	hi:34188170 hl:68eb3417ed31bd40b47322289459eeec_4_034:be9c7f9d3d4d:16 hi:34240176 hi:34106504 hi:34237602 hi:34237171 hi:34188969 hi:34241172	2026-09-26
と	U+3068	こ	U+3053	101	codh:200021063:200021063_00024_1:B0001:C0020 codh:200010454:200010454_00026_1:B0001:C0079 hi:34041736 codh:200010454:200010454_00016_2:B0001:C0094 codh:200003967:200003967_00022_2:B0001:C0018 codh:100249371:100249371_00034_2:B0001:C0184 hi:34478193 hi:34251383	2026-09-26
之	U+4E4B	く	U+304F	100	hi:34078870 hi:34275417 hl:68C7BEFABCCE5DD6A2327799118C7CD1_52_012:be9c7f9d3d4d:21 hi:34089339 hi:34256792 hi:34131959 hi:34143688 hi:34037634	2026-09-26
日	U+65E5	り	U+308A	99	hi:34181506 hi:34145108 hi:34187569 hi:34231561 hi:34179650 hl:9d4189b32a46c402aab4a99774c2e3bb_45_009:be9c7f9d3d4d:2 hi:34264729 hi:34188971	2026-09-26
事	U+4E8B	ま	U+307E	98	hi:34098761 hi:34209173 hi:34155935 codh:200021802:200021802_00027_1:B0001:C0061 codh-omt:001:16073 hl:68C7BEFABCCE5DD6A2327799118C7CD1_62_019:be9c7f9d3d4d:18 hi:34141442 hi:34164596	2026-09-26
候	U+5019	レ	U+30EC	95	hi:34339693 hi:34271922 hi:34250765 hi:34245396 hi:34250185 hi:34174988 hi:34265630 hi:34176661	2026-09-26
日	U+65E5	か	U+304B	95	hi:34267825 hi:34267388 hi:34033778 hi:34239750 hi:34105879 hi:34333774 hi:34027881 hi:34104591	2026-09-26
間	U+9593	る	U+308B	92	hi:34267860 hi:34523060 hi:34406815 hi:34410477 hi:34428881 hi:34366545 hi:34086458 hi:34062818	2026-09-26
此	U+6B64	け	U+3051	91	hi:34204197 hi:34196607 hi:34205574 hi:34050476 hi:34161574 hi:34236877 hi:34221461 hi:34239540	2026-09-26
于	U+4E8E	干	U+5E72	90	hi:34021080 hi:34021909 hi:34237742 hi:34121731 hi:34297546 hi:34281758 hi:34296527 hi:34282463	2026-09-26
か	U+304B	り	U+308A	89	codh:200015843:200015843_00081_2:B0001:C0130 hl:B5A8C444BAB2DC7076365A8660F458F0_6_056:be9c7f9d3d4d:3 codh:200020019:200020019_00022_2:B0001:C0018 hi:34114418 hi:34221750 hi:34229007 hi:34125447 hi:34213847	2026-09-26
候	U+5019	え	U+3048	89	hi:34251612 hi:34363152 hi:34255198 hi:34367283 hi:34144707 hi:34346816 hi:34097634 hi:34345235	2026-09-26
な	U+306A	る	U+308B	88	codh:200020019:200020019_00049_1:B0001:C0219 hi:34232580 hi:34250100 hi:34187236 codh:200008003:200008003_00003_1:B0001:C0061 hl:68eb3417ed31bd40b47322289459eeec_8_045:be9c7f9d3d4d:25 hi:34038095 hi:34241939	2026-09-26
へ	U+3078	ゝ	U+309D	88	hi:34243108 hi:34172348 hi:34175329 hi:34172320 hi:34245351 hi:34174820 hi:34168245 hi:34244250	2026-09-26
候	U+5019	ゞ	U+309E	88	hi:34079107 hi:34141347 hi:34529189 hi:34258877 hi:34088062 hi:34092499 hi:34517753 hi:34523156	2026-09-26
馬	U+99AC	る	U+308B	87	hi:34242916 hi:34166729 hl:68C7BEFABCCE5DD6A2327799118C7CD1_45_013:be9c7f9d3d4d:7 hi:34174832 hi:34241520 hi:34244098 hi:34212262 hi:34205027	2026-09-26
候	U+5019	け	U+3051	85	hi:34213686 hi:34355227 hi:34079662 hi:34096166 hi:34147244 hi:34096078 hi:34083418 hi:34193530	2026-09-26
候	U+5019	ん	U+3093	84	hi:34256806 hi:34057483 hi:34147030 hl:db756a349241476df2db53a0cfcd6cd6_24_015:be9c7f9d3d4d:12 hi:34092803 hi:34303883 hi:34250714 hi:34287793	2026-09-26
被	U+88AB	ち	U+3061	83	hi:34348514 hi:34508760 hi:34491998 hi:34511444 hi:34488294 hi:34450237 hi:34305032 hi:34428542	2026-09-26
に	U+306B	よ	U+3088	80	codh:200021063:200021063_00006_1:B0001:C0176 hl:68C7BEFABCCE5DD6A2327799118C7CD1_3_003:be9c7f9d3d4d:6 codh:brsk00000:brsk003_027:B0001:C0243 codh:200020019:200020019_00056_1:B0001:C0078 codh:brsk00000:brsk004_013:B0001:C0091 codh:200021802:200021802_00023_1:B0001:C0047 hi:34262715 codh:200014740:200014740_00011_2:B0001:C0155	2026-09-26
人	U+4EBA	く	U+304F	80	hi:34332611 hi:34492113 hi:34366397 hi:34312488 hi:34208908 hi:34068469 hi:34486724 hi:34311968	2026-09-26
を	U+3092	す	U+3059	79	hi:34108247 hi:34132758 hi:34174117 hi:34051809 hi:34160408 hi:34161267 hi:34177156 hl:68eb3417ed31bd40b47322289459eeec_16_025:be9c7f9d3d4d:2	2026-09-26
其	U+5176	そ	U+305D	79	hi:34324192 hi:34121901 hi:34193259 hi:34221423 hi:34267982 hi:34085496 hi:34164246 hi:34203147	2026-09-26
を	U+3092	せ	U+305B	75	hi:34460617 hi:34421632 hi:34133682 hi:34396407 codh:umgy00000:umgy010_015:B0001:C0048 hi:34352143 hi:34443174 hi:34301358	2026-09-26
御	U+5FA1	つ	U+3064	75	hi:34478240 hi:34258162 hi:34173809 hi:34175595 hi:34301764 hi:34172894 hi:34131458 hi:34334013	2026-09-26
了	U+4E86	う	U+3046	73	hi:34202122 hi:34077971 hi:34145858 hi:34033108 hi:34119392 hi:34184177 hi:34235926 hi:34149389	2026-09-26
納	U+7D0D	ゆ	U+3086	73	hi:34164310 hi:34181739 hi:34234297 hi:34254108 hi:34207769 hi:34205941 hi:34209164 hi:34161101	2026-09-26
御	U+5FA1	候	U+5019	71	hi:34294754 hi:34287717 hi:34221419 hi:34164285 hi:34287616 hi:34216482 hi:34344194 hi:34211705	2026-09-26
に	U+306B	る	U+308B	70	hi:34038607 hi:34224464 codh:200021644:200021644_00021_2:B0001:C0145 hi:34174868 hl:68eb3417ed31bd40b47322289459eeec_3_059:be9c7f9d3d4d:16 hi:34172448 hi:34100207 hi:34174741	2026-09-26
候	U+5019	御	U+5FA1	70	hl:db756a349241476df2db53a0cfcd6cd6_77_013:be9c7f9d3d4d:13 hi:34210298 hl:5B7E3F3297D1937C6677C28010C1C482_4_012:be9c7f9d3d4d:13 hi:34257942 hl:db756a349241476df2db53a0cfcd6cd6_60_024:be9c7f9d3d4d:9 hl:db756a349241476df2db53a0cfcd6cd6_82_028:be9c7f9d3d4d:7 hi:34238396 hi:34382870	2026-09-26
ね	U+306D	ぬ	U+306C	69	codh:200019865:200019865_00067_1:B0001:C0040 codh:200019865:200019865_00026_1:B0001:C0152 codh:200015779:200015779_00020_2:B0001:C0260 codh:200019865:200019865_00004_2:B0001:C0180 codh:200019865:200019865_00031_2:B0001:C0087 codh:200019865:200019865_00126_2:B0001:C0114 hi:34076277 codh:200019865:200019865_00005_1:B0001:C0160	2026-09-26
目	U+76EE	日	U+65E5	69	hi:34247806 hi:34365118 hi:34060052 hi:34010520 hi:34191469 hi:34393571 hi:34136645 codh:200021063:200021063_00028_1:B0001:C0313	2026-09-26
寺	U+5BFA	る	U+308B	68	hi:34041853 hi:34190775 hi:34182621 hi:34174786 hi:34182617 hi:34234264 hi:34200696 hi:34292779	2026-09-26
之	U+4E4B	も	U+3082	67	hi:34345895 hi:34215574 hi:34082325 hi:34288699 hi:34263081 hi:34207813 hi:34150778 hi:34236365	2026-09-26
令	U+4EE4	合	U+5408	67	hi:34035545 hi:34220550 hi:34054535 hi:34135523 hi:34181243 hi:34122942 hi:34295922 hi:34358170	2026-09-26
御	U+5FA1	け	U+3051	66	hl:5B7E3F3297D1937C6677C28010C1C482_1_002:be9c7f9d3d4d:4 hl:db756a349241476df2db53a0cfcd6cd6_43_029:be9c7f9d3d4d:17 hi:34142987 hl:5B7E3F3297D1937C6677C28010C1C482_10_005:be9c7f9d3d4d:3 hi:34353717 hi:34102217 hi:34222127 hi:34073707	2026-09-26
日	U+65E5	ゝ	U+309D	66	hi:34135941 hi:34184487 hi:34478321 hi:34167763 hi:34246392 hi:34190139 hi:34525100 hi:34186230	2026-09-26
が	U+304C	か	U+304B	65	hl:833C8DC397DF4B02D31160EA54FD271E_9_015:be9c7f9d3d4d:5 codh:200003076:200003076_00018_1:B0001:C0175 codh:200004148:200004148_00061_2:B0001:C0002 codh:200014740:200014740_00068_1:B0001:C0048 codh:200003076:200003076_00046_2:B0001:C0145 hl:68eb3417ed31bd40b47322289459eeec_18_017:be9c7f9d3d4d:12 codh:200019865:200019865_00025_2:B0001:C0056 codh:200014740:200014740_00040_1:B0001:C0068	2026-09-26
候	U+5019	る	U+308B	64	hi:34359981 hi:34077644 hi:34312024 hi:34047697 hi:34085328 hi:34078325 hi:34081936 hi:34077854	2026-09-26
御	U+5FA1	い	U+3044	64	hi:34247487 hi:34488371 hi:34255308 hi:34033639 hi:34254367 hi:34473031 hi:34511564 hi:34512154	2026-09-26
申	U+7533	し	U+3057	64	hi:34428999 hi:34259412 hi:34529292 hi:34512034 hi:34260420 hi:34417552 hi:34037480 hi:34425301	2026-09-26
臣	U+81E3	分	U+5206	63	hi:34097835 hi:34162193 hi:34252514 hi:34178959 hi:34193170 hi:34150612 hi:34237477 hi:34097828	2026-09-26
月	U+6708	し	U+3057	62	hi:34141889 hi:34078776 hi:34040150 hi:34363199 hi:34287750 hi:34143066 hi:34286725 hi:34082759	2026-09-26
不	U+4E0D	ほ	U+307B	61	hi:34149893 hi:34154904 hi:34196399 hi:34204219 hi:34162087 hi:34122223 hi:34256604 hi:34190469	2026-09-26
し	U+3057	三	U+4E09	59	hi:34128414 hi:34084034 hi:34085512 hi:34123070 hi:34226840 hi:34033182 hi:34123618 hi:34070127	2026-09-26
云	U+4E91	三	U+4E09	59	hi:34196172 hi:34136431 hi:34201969 hi:34150865 hi:34151776 hi:34194557 hi:34182428 hi:34159307	2026-09-26
恐	U+6050	く	U+304F	59	hi:34146187 hi:34146247 hi:34143573 hi:34356598 hi:34483396 hi:34314353 hi:34492514 hi:34258684	2026-09-26
い	U+3044	つ	U+3064	58	codh:200019865:200019865_00028_2:B0001:C0170 codh:brsk00000:brsk005_022:B0001:C0269 hl:B5A8C444BAB2DC7076365A8660F458F0_5_066:be9c7f9d3d4d:1 codh:200019865:200019865_00015_2:B0001:C0168 codh:200019865:200019865_00031_2:B0001:C0177 codh:brsk00000:brsk001_015:B0001:C0142 hi:34265518 codh:200025191:200025191_00064_2:B0001:C0235	2026-09-26
月	U+6708	り	U+308A	58	hi:34352337 hi:34241741 hi:34310870 hi:34270864 hi:34453570 hi:34525097 hi:34306524 hi:34079204	2026-09-26
者	U+8005	々	U+3005	58	hi:34455480 hi:34289126 hi:34312259 hi:34175027 hi:34269554 hi:34358686 hi:34533312 hi:34511456	2026-09-26
ば	U+3070	は	U+306F	57	codh:200015843:200015843_00073_1:B0001:C0245 codh:200014740:200014740_00022_1:B0001:C0214 codh:200015843:200015843_00029_1:B0001:C0271 hl:68eb3417ed31bd40b47322289459eeec_28_031:be9c7f9d3d4d:22 codh:200004148:200004148_00015_2:B0001:C0029 codh:200021802:200021802_00022_1:B0001:C0101 hl:9d4189b32a46c402aab4a99774c2e3bb_43_005:be9c7f9d3d4d:6 hl:68eb3417ed31bd40b47322289459eeec_12_036:be9c7f9d3d4d:14	2026-09-26
ハ	U+30CF	つ	U+3064	57	hi:34139050 codh:200019865:200019865_00116_2:B0001:C0166 hi:34317135 hi:34243287 hi:34243431 hi:34312304 hi:34371414 hi:34055136	2026-09-26
後	U+5F8C	得	U+5F97	57	hi:34212744 hi:34219288 hi:34198698 hi:34206560 hi:34201799 codh:brsk00000:brsk001_023:B0001:C0201 hi:34149876 hi:34196980	2026-09-26
部	U+90E8	ア	U+30A2	57	hi:34076991 hi:34157568 hi:34147722 hi:34178491 hi:34181798 hi:34249080 hi:34183212 hi:34182118	2026-09-26
の	U+306E	入	U+5165	56	codh:200021644:200021644_00022_2:B0001:C0012 hl:9d4189b32a46c402aab4a99774c2e3bb_11_005:be9c7f9d3d4d:5 hi:34076539 hi:34180407 codh:200018243:200018243_00003_2:B0001:C0081 hi:34224833 hi:34193006 hi:34124571	2026-09-26
