# Classifier readings of a label that are a cursive form of the label itself, not another character.
# A Quick review suspect mark whose label and reading make one of these pairs is not made (quiz_suspects).
# Decided by mkpoli on 2026-09-26 from eight sample crops per pair (the glyph ids below), among the 201
# (label, reading) pairs the corpus marks repeated at least 40 times. A pair is listed only when all eight
# samples were the label; 45 further pairs were answered "can't tell" and are not listed, so they stay marked.
# marks: how many corpus marks the pair held when it was decided.
label	label_code_point	reads_as	reads_as_code_point	marks	samples	decided
之	U+4E4B	〻	U+303B	46	hi:34047316 hi:34092882 hi:34306119 hi:34302765 hl:68C7BEFABCCE5DD6A2327799118C7CD1_54_002:be9c7f9d3d4d:10 hi:34063585 hi:34145158 hi:34243728	2026-09-26
云	U+4E91	こ	U+3053	46	hi:34193688 hi:34236891 hi:34207958 hi:34164823 hi:34196380 hi:34153445 hi:34218115 hi:34220874	2026-09-26
何	U+4F55	つ	U+3064	46	hi:34149744 hi:34064505 hi:34193993 hi:34164681 hi:34129946 hi:34317658 hi:34350501 hi:34152853	2026-09-26
可	U+53EF	へ	U+3078	46	hi:34108793 hi:34305129 hi:34350466 hi:34236592 hi:34040012 hi:34088770 hi:34367535 hi:34277864	2026-09-26
意	U+610F	き	U+304D	46	hi:34165832 hi:34250018 hi:34005045 hi:34306074 hi:34244641 hi:34239091 hi:34312955 hi:34324160	2026-09-26
臣	U+81E3	ト	U+30C8	46	hi:34134362 hi:34253786 hi:34253801 hi:34200211 hi:34097820 hi:34209419 hi:34215656 hi:34212689	2026-09-26
さ	U+3055	た	U+305F	45	codh:hnsd00000:hnsd011_023:B0001:C0208 codh:200005598:200005598_00025_1:B0001:C0179 codh:200021802:200021802_00028_2:B0001:C0089 codh:200005798:200005798_00091_2:B0001:C0008 codh:200021802:200021802_00006_2:B0001:C0108 hi:34193627 codh:200015779:200015779_00034_1:B0001:C0194 hi:34193012	2026-09-26
や	U+3084	屋	U+5C4B	45	codh:200004107:200004107_00010_2:B0001:C0155 hi:34054857 codh:200004107:200004107_00027_2:B0001:C0008 codh:200021660:200021660_00060_2:B0001:C0023 codh:200015843:200015843_00008_1:B0001:C0156 codh:200021712:200021712_00034_2:B0001:C0019 codh:200015843:200015843_00010_2:B0001:C0278 codh:200015843:200015843_00059_1:B0001:C0160	2026-09-26
之	U+4E4B	て	U+3066	45	hi:34084571 hi:34257536 hi:34067571 hi:34044201 hi:34204302 hi:34306262 hi:34183680 hi:34261951	2026-09-26
之	U+4E4B	へ	U+3078	45	hi:34344295 hi:34431945 hi:34246721 hi:34277751 hi:34142822 hi:34140007 hi:34245186 hi:34237883	2026-09-26
候	U+5019	よ	U+3088	45	hi:34268553 codh:200021802:200021802_00043_2:B0001:C0089 hi:34134159 hi:34418016 hi:34200747 hl:db756a349241476df2db53a0cfcd6cd6_49_039:be9c7f9d3d4d:31 hi:34515260 codh:200021802:200021802_00042_1:B0001:C0154	2026-09-26
取	U+53D6	ほ	U+307B	45	hi:34162517 hi:34217028 hi:34345720 hi:34154637 hi:34156420 hi:34210025 hi:34212244 hi:34164496	2026-09-26
可	U+53EF	こ	U+3053	45	hi:34244799 hi:34312990 hi:34204582 hi:34245612 hi:34522878 hi:34205677 codh:200021802:200021802_00021_2:B0001:C0039 hi:34248475	2026-09-26
而	U+800C	な	U+306A	45	hi:34200077 hi:34163039 hi:34031377 hi:34080415 hi:34455469 hi:34197437 hi:34317464 hi:34084047	2026-09-26
ニ	U+30CB	〻	U+303B	44	hi:34169970 hi:34107220 hi:34131745 hi:34162707 hi:34136794 hi:34093406 hi:34352477 hi:34375390	2026-09-26
座	U+5EA7	取	U+53D6	44	hl:db756a349241476df2db53a0cfcd6cd6_27_005:be9c7f9d3d4d:17 hi:34196271 hi:34158212 hi:34202882 hi:34483312 hi:34209896 hi:34324120 hi:34196131	2026-09-26
文	U+6587	又	U+53C8	44	hi:34038472 hi:34239132 hi:34068264 hi:34025744 hi:34128151 hi:34236313 hi:34032078 hi:34128139	2026-09-26
よ	U+3088	し	U+3057	43	codh:200021802:200021802_00055_1:B0001:C0145 hi:34106227 hi:34109779 hi:34110478 hi:34109827 hi:34091616 hi:34110603 hi:34180985	2026-09-26
り	U+308A	利	U+5229	43	codh:200003076:200003076_00047_1:B0001:C0081 codh:200021071:200021071_00023_2:B0001:C0222 codh:200021071:200021071_00103_1:B0001:C0141 codh:200021071:200021071_00027_2:B0001:C0042 codh:200003076:200003076_00037_2:B0001:C0209 codh:200021071:200021071_00034_2:B0001:C0119 codh:200021071:200021071_00004_2:B0001:C0185 codh:200003076:200003076_00014_2:B0001:C0083	2026-09-26
其	U+5176	モ	U+30E2	43	hi:34086015 hi:34326734 hi:34151705 hi:34095270 hi:34121773 hi:34064433 hi:34175460 hi:34140933	2026-09-26
已	U+5DF2	こ	U+3053	43	hi:34165690 hi:34196210 hi:34317486 hi:34193308 hi:34215788 hi:34164268 hi:34192640 hi:34216704	2026-09-26
恐	U+6050	ゑ	U+3091	43	hi:34004783 hi:34306798 hi:34093194 hi:34038887 hi:34004770 hi:34030228 hi:34037303 hi:34048460	2026-09-26
日	U+65E5	も	U+3082	43	hi:34238783 hi:34083931 hi:34518989 hi:34143814 hi:34109958 hi:34196110 hl:9d4189b32a46c402aab4a99774c2e3bb_39_002:be9c7f9d3d4d:3 hi:34324968	2026-09-26
者	U+8005	み	U+307F	43	hi:34073725 hi:34172804 hi:34170539 hi:34269466 hi:34170338 hi:34205088 hi:34215526 hi:34248568	2026-09-26
へ	U+3078	べ	U+3079	42	codh:200021071:200021071_00037_1:B0001:C0064 codh:200020019:200020019_00019_2:B0001:C0016 hi:34417939 codh:200004148:200004148_00037_2:B0001:C0033 codh:200025191:200025191_00017_1:B0001:C0161 hi:34253484 codh:200025191:200025191_00015_1:B0001:C0198 codh:brsk00000:brsk001_016:B0001:C0124	2026-09-26
る	U+308B	留	U+7559	42	codh:200020019:200020019_00006_2:B0001:C0057 codh:200008003:200008003_00016_2:B0001:C0176 codh:200025191:200025191_00064_2:B0001:C0182 codh:100249376:100249376_00028_2:B0001:C0027 hi:34271940 codh:200008003:200008003_00014_2:B0001:C0093 codh:100249376:100249376_00021_2:B0001:C0017 codh:200021802:200021802_00036_1:B0001:C0145	2026-09-26
人	U+4EBA	ん	U+3093	42	hi:34239428 hi:34223386 hi:34218095 codh:200020019:200020019_00053_2:B0001:C0010 codh:brsk00000:brsk003_012:B0001:C0141 hi:34216153 hi:34215636 hi:34217158	2026-09-26
今	U+4ECA	と	U+3068	42	hi:34270780 hi:34329748 hi:34000229 hi:34165097 hi:34277117 hi:34229122 hi:34212993 hi:34350429	2026-09-26
門	U+9580	同	U+540C	42	hi:34275291 hi:34285514 hi:34189300 hi:34182964 hi:34255853 hi:34180368 hi:34058243 hi:34116694	2026-09-26
い	U+3044	以	U+4EE5	41	codh:200021071:200021071_00101_2:B0001:C0037 codh:200021071:200021071_00004_1:B0001:C0018 codh:brsk00000:brsk005_016:B0001:C0373 codh:200021660:200021660_00022_1:B0001:C0065 codh:brsk00000:brsk005_035:B0001:C0055 codh:200021071:200021071_00077_1:B0001:C0080 codh:200025191:200025191_00041_2:B0001:C0116 hl:9d4189b32a46c402aab4a99774c2e3bb_33_009:be9c7f9d3d4d:8	2026-09-26
に	U+306B	わ	U+308F	41	codh:200021802:200021802_00040_2:B0001:C0171 hi:34037084 codh:200021802:200021802_00030_1:B0001:C0029 codh:200015843:200015843_00123_2:B0001:C0180 codh:200021712:200021712_00034_2:B0001:C0153 codh:200006665:200006665_00009_2:B0001:C0113 codh:200021802:200021802_00052_1:B0001:C0105 codh:200021802:200021802_00022_2:B0001:C0171	2026-09-26
は	U+306F	け	U+3051	41	codh:200021802:200021802_00043_2:B0001:C0057 codh:200021802:200021802_00027_2:B0001:C0170 hi:34227706 codh:200021802:200021802_00022_1:B0001:C0018 codh:200021802:200021802_00015_1:B0001:C0046 hl:68eb3417ed31bd40b47322289459eeec_28_072:be9c7f9d3d4d:23 codh:200021802:200021802_00045_2:B0001:C0059 hi:34225762	2026-09-26
を	U+3092	も	U+3082	41	hi:34056244 codh:100249416:100249416_00023_1:B0001:C0058 codh:200004148:200004148_00088_1:B0001:C0293 hi:34515221 hi:34227188 hi:34253561 hi:34361852 hi:34361468	2026-09-26
カ	U+30AB	力	U+529B	41	hl:62c6743982041882d0aefd6582ac6a84_94_006:be9c7f9d3d4d:9 codh:200021660:200021660_00070_1:B0001:C0302 codh:umgy00000:umgy009_027:B0001:C0145 hl:62c6743982041882d0aefd6582ac6a84_80_039:be9c7f9d3d4d:13 hl:62c6743982041882d0aefd6582ac6a84_85_005:be9c7f9d3d4d:17 codh:200021925:200021925_00005_1:B0001:C0015 hl:68C7BEFABCCE5DD6A2327799118C7CD1_73_000:be9c7f9d3d4d:23 codh:100249371:100249371_00005_2:B0001:C0001	2026-09-26
上	U+4E0A	と	U+3068	41	hi:34123835 hi:34098255 codh:200003076:200003076_00124_1:B0001:C0166 hi:34067510 hi:34070307 hi:34480380 hi:34048014 hi:34180888	2026-09-26
了	U+4E86	ら	U+3089	41	hi:34187639 hi:34077596 hi:34184553 hi:34102869 hi:34122312 hi:34077865 hi:34139481 hi:34203045	2026-09-26
有	U+6709	給	U+7D66	41	hi:34076706 hi:34198033 hi:34038563 hi:34267571 hi:34306478 hi:34023817 hi:34212245 hi:34236965	2026-09-26
被	U+88AB	衣	U+8863	41	hi:34147507 hi:34101096 hi:34321993 hi:34306082 hl:68C7BEFABCCE5DD6A2327799118C7CD1_56_010:be9c7f9d3d4d:15 hi:34100446 hi:34368536 hi:34102233	2026-09-26
に	U+306B	こ	U+3053	40	codh:100249416:100249416_00024_2:B0001:C0086 codh:200003967:200003967_00018_2:B0001:C0165 hi:34174407 codh:200017458:200017458_00046_2:B0001:C0310 codh:100249416:100249416_00032_2:B0001:C0094 codh:200021712:200021712_00083_1:B0001:C0099 hi:34266944 hl:68eb3417ed31bd40b47322289459eeec_8_022:be9c7f9d3d4d:6	2026-09-26
ん	U+3093	人	U+4EBA	40	hi:34078200 hi:34049186 codh:brsk00000:brsk002_007:B0001:C0249 hi:34254349 codh:200004148:200004148_00022_1:B0001:C0045 hi:34033973 hi:34062541 hi:34056169	2026-09-26
云	U+4E91	ミ	U+30DF	40	hi:34237167 hi:34207555 hi:34238875 hi:34236793 hi:34097549 hi:34101384 hi:34196677 hi:34147843	2026-09-26
参	U+53C2	よ	U+3088	40	hi:34269769 hi:34164567 hi:34161000 hi:34208269 hi:34150545 hi:34155603 hi:34155078 hi:34133873	2026-09-26
時	U+6642	付	U+4ED8	40	hi:34209240 hi:34201595 hi:34234880 hl:5B7E3F3297D1937C6677C28010C1C482_22_010:be9c7f9d3d4d:9 hi:34237488 hi:34236746 hi:34218154 hi:34362430	2026-09-26
