# Character equivalences for the alignment and export policies.
# source unicode-ucd (compatibility): Unicode Character Database and Ideographic Variation Database (UnicodeData.txt), fields Name and Decomposition, Unicode-3.0 (https://www.unicode.org/license.txt); Copyright Unicode, Inc.; Unicode License v3
#   https://www.unicode.org/Public/UCD/latest/ucd/UnicodeData.txt sha256:2e1efc1dcb59c575
#   a: a CJK compatibility ideograph or another character whose field 5 is a <compat> decomposition naming one CJK unified ideograph; b: that ideograph.
# source mj-main-table (itaiji): MJ文字情報一覧表 Ver.006.02, columns MJ文字図形名, 対応するUCS, X0213; CC-BY-SA-2.1-JP (https://moji.or.jp/mojikiban/mjlist/); 文字情報基盤 MJ文字情報一覧表（IPA）, CC BY-SA 2.1 JP
#   https://moji.or.jp/wp-content/uploads/2024/01/mji.00602.xlsx sha256:f79075bf006b66c5
#   a, b: two characters the table places at one X0213 面区点, ordered by code point.
# source mj-shrink-map (shinji-kyuji): MJ縮退マップ Ver.1.2.0, fields MJ文字図形名, 法務省戸籍法関連通達・通知, 種別, UCS, JIS X 0213; http://creativecommons.org/licenses/by-sa/2.1/jp/ (CC BY-SA 2.1 JP), corresponds to Ver.005.02
#   https://moji.or.jp/wp-content/mojikiban/oscdl/MJShrinkMap.1.2.0.json sha256:275b57ecd5929edb
#   a: a 旧字 whose 親字・正字 is b, a 常用漢字 (漢字施策 column of the main table); both are BMP CJK unified ideographs at different X0213 面区点.
# columns: a, b, kind, source
# rows: compatibility 1221, shinji-kyuji 639, itaiji 166
a	b	kind	source
經	経	shinji-kyuji	mj-shrink-map
綠	緑	shinji-kyuji	mj-shrink-map
綫	線	shinji-kyuji	mj-shrink-map
緖	緒	shinji-kyuji	mj-shrink-map
緜	綿	shinji-kyuji	mj-shrink-map
緣	縁	shinji-kyuji	mj-shrink-map
縣	県	shinji-kyuji	mj-shrink-map
縱	縦	shinji-kyuji	mj-shrink-map
縲	累	shinji-kyuji	mj-shrink-map
總	総	shinji-kyuji	mj-shrink-map
繅	繰	shinji-kyuji	mj-shrink-map
繩	縄	shinji-kyuji	mj-shrink-map
繪	絵	shinji-kyuji	mj-shrink-map
繼	継	shinji-kyuji	mj-shrink-map
續	続	shinji-kyuji	mj-shrink-map
纍	累	shinji-kyuji	mj-shrink-map
纎	繊	shinji-kyuji	mj-shrink-map
纖	繊	shinji-kyuji	mj-shrink-map
缺	欠	shinji-kyuji	mj-shrink-map
缻	缶	shinji-kyuji	mj-shrink-map
缼	欠	shinji-kyuji	mj-shrink-map
罐	缶	shinji-kyuji	mj-shrink-map
罸	罰	shinji-kyuji	mj-shrink-map
羣	群	shinji-kyuji	mj-shrink-map
耒	来	shinji-kyuji	mj-shrink-map
耻	恥	shinji-kyuji	mj-shrink-map
聟	婿	shinji-kyuji	mj-shrink-map
聲	声	shinji-kyuji	mj-shrink-map
聽	聴	shinji-kyuji	mj-shrink-map
肅	粛	shinji-kyuji	mj-shrink-map
肤	膚	shinji-kyuji	mj-shrink-map
脣	唇	shinji-kyuji	mj-shrink-map
脵	股	shinji-kyuji	mj-shrink-map
腦	脳	shinji-kyuji	mj-shrink-map
膄	痩	shinji-kyuji	mj-shrink-map
膓	腸	shinji-kyuji	mj-shrink-map
膽	胆	shinji-kyuji	mj-shrink-map
臙	咽	shinji-kyuji	mj-shrink-map
臟	臓	shinji-kyuji	mj-shrink-map
臤	賢	shinji-kyuji	mj-shrink-map
臺	台	shinji-kyuji	mj-shrink-map
與	与	shinji-kyuji	mj-shrink-map
舉	挙	shinji-kyuji	mj-shrink-map
舊	旧	shinji-kyuji	mj-shrink-map
舍	舎	shinji-kyuji	mj-shrink-map
舖	舗	shinji-kyuji	mj-shrink-map
舘	館	shinji-kyuji	mj-shrink-map
舛	升	shinji-kyuji	mj-shrink-map
舩	船	shinji-kyuji	mj-shrink-map
艷	艶	shinji-kyuji	mj-shrink-map
芲	花	shinji-kyuji	mj-shrink-map
苅	刈	shinji-kyuji	mj-shrink-map
荗	茂	shinji-kyuji	mj-shrink-map
荣	栄	shinji-kyuji	mj-shrink-map
莊	荘	shinji-kyuji	mj-shrink-map
莖	茎	shinji-kyuji	mj-shrink-map
萬	万	shinji-kyuji	mj-shrink-map
葢	蓋	shinji-kyuji	mj-shrink-map
薗	園	shinji-kyuji	mj-shrink-map
薰	薫	shinji-kyuji	mj-shrink-map
藁	稿	shinji-kyuji	mj-shrink-map
藏	蔵	shinji-kyuji	mj-shrink-map
藝	芸	shinji-kyuji	mj-shrink-map
藥	薬	shinji-kyuji	mj-shrink-map
蘤	花	shinji-kyuji	mj-shrink-map
處	処	shinji-kyuji	mj-shrink-map
虗	虚	shinji-kyuji	mj-shrink-map
虛	虚	shinji-kyuji	mj-shrink-map
號	号	shinji-kyuji	mj-shrink-map
虵	蛇	shinji-kyuji	mj-shrink-map
蚉	蚊	shinji-kyuji	mj-shrink-map
蛽	貝	shinji-kyuji	mj-shrink-map
螢	蛍	shinji-kyuji	mj-shrink-map
蟁	蚊	shinji-kyuji	mj-shrink-map
蟲	虫	shinji-kyuji	mj-shrink-map
蠶	蚕	shinji-kyuji	mj-shrink-map
蠻	蛮	shinji-kyuji	mj-shrink-map
衟	道	shinji-kyuji	mj-shrink-map
裝	装	shinji-kyuji	mj-shrink-map
襃	褒	shinji-kyuji	mj-shrink-map
襍	雑	shinji-kyuji	mj-shrink-map
覐	覚	shinji-kyuji	mj-shrink-map
覺	覚	shinji-kyuji	mj-shrink-map
覽	覧	shinji-kyuji	mj-shrink-map
觀	観	shinji-kyuji	mj-shrink-map
觔	筋	shinji-kyuji	mj-shrink-map
觧	解	shinji-kyuji	mj-shrink-map
觸	触	shinji-kyuji	mj-shrink-map
訡	吟	shinji-kyuji	mj-shrink-map
訷	伸	shinji-kyuji	mj-shrink-map
誥	詰	shinji-kyuji	mj-shrink-map
謌	歌	shinji-kyuji	mj-shrink-map
謠	謡	shinji-kyuji	mj-shrink-map
證	証	shinji-kyuji	mj-shrink-map
譯	訳	shinji-kyuji	mj-shrink-map
譱	善	shinji-kyuji	mj-shrink-map
譽	誉	shinji-kyuji	mj-shrink-map
讀	読	shinji-kyuji	mj-shrink-map
變	変	shinji-kyuji	mj-shrink-map
讓	譲	shinji-kyuji	mj-shrink-map
谿	渓	shinji-kyuji	mj-shrink-map
豐	豊	shinji-kyuji	mj-shrink-map
豔	艶	shinji-kyuji	mj-shrink-map
豫	予	shinji-kyuji	mj-shrink-map
貓	猫	shinji-kyuji	mj-shrink-map
貭	質	shinji-kyuji	mj-shrink-map
貮	弐	shinji-kyuji	mj-shrink-map
貳	弐	shinji-kyuji	mj-shrink-map
賡	続	shinji-kyuji	mj-shrink-map
賣	売	shinji-kyuji	mj-shrink-map
賴	頼	shinji-kyuji	mj-shrink-map
贊	賛	shinji-kyuji	mj-shrink-map
贒	賢	shinji-kyuji	mj-shrink-map
赱	走	shinji-kyuji	mj-shrink-map
踈	疎	shinji-kyuji	mj-shrink-map
踐	践	shinji-kyuji	mj-shrink-map
踴	踊	shinji-kyuji	mj-shrink-map
蹋	踏	shinji-kyuji	mj-shrink-map
躰	体	shinji-kyuji	mj-shrink-map
躶	裸	shinji-kyuji	mj-shrink-map
軆	体	shinji-kyuji	mj-shrink-map
輕	軽	shinji-kyuji	mj-shrink-map
輭	軟	shinji-kyuji	mj-shrink-map
轉	転	shinji-kyuji	mj-shrink-map
辧	弁	shinji-kyuji	mj-shrink-map
辨	弁	shinji-kyuji	mj-shrink-map
辭	辞	shinji-kyuji	mj-shrink-map
辯	弁	shinji-kyuji	mj-shrink-map
迁	遷	shinji-kyuji	mj-shrink-map
迯	逃	shinji-kyuji	mj-shrink-map
迴	回	shinji-kyuji	mj-shrink-map
迹	跡	shinji-kyuji	mj-shrink-map
逑	述	shinji-kyuji	mj-shrink-map
逕	径	shinji-kyuji	mj-shrink-map
逹	達	shinji-kyuji	mj-shrink-map
遞	逓	shinji-kyuji	mj-shrink-map
遲	遅	shinji-kyuji	mj-shrink-map
邉	辺	shinji-kyuji	mj-shrink-map
邊	辺	shinji-kyuji	mj-shrink-map
邨	村	shinji-kyuji	mj-shrink-map
郞	郎	shinji-kyuji	mj-shrink-map
郶	部	shinji-kyuji	mj-shrink-map
鄕	郷	shinji-kyuji	mj-shrink-map
醉	酔	shinji-kyuji	mj-shrink-map
醋	酢	shinji-kyuji	mj-shrink-map
醫	医	shinji-kyuji	mj-shrink-map
醼	宴	shinji-kyuji	mj-shrink-map
釀	醸	shinji-kyuji	mj-shrink-map
釋	釈	shinji-kyuji	mj-shrink-map
釖	刀	shinji-kyuji	mj-shrink-map
釡	釜	shinji-kyuji	mj-shrink-map
釼	剣	shinji-kyuji	mj-shrink-map
鈇	鉄	shinji-kyuji	mj-shrink-map
鉃	鉄	shinji-kyuji	mj-shrink-map
銕	鉄	shinji-kyuji	mj-shrink-map
銿	鐘	shinji-kyuji	mj-shrink-map
鋪	舗	shinji-kyuji	mj-shrink-map
錄	録	shinji-kyuji	mj-shrink-map
錢	銭	shinji-kyuji	mj-shrink-map
鍊	錬	shinji-kyuji	mj-shrink-map
鍳	鑑	shinji-kyuji	mj-shrink-map
鎭	鎮	shinji-kyuji	mj-shrink-map
鐡	鉄	shinji-kyuji	mj-shrink-map
鐵	鉄	shinji-kyuji	mj-shrink-map
鑄	鋳	shinji-kyuji	mj-shrink-map
鑒	鑑	shinji-kyuji	mj-shrink-map
鑛	鉱	shinji-kyuji	mj-shrink-map
鑵	缶	shinji-kyuji	mj-shrink-map
镸	長	shinji-kyuji	mj-shrink-map
閇	閉	shinji-kyuji	mj-shrink-map
關	関	shinji-kyuji	mj-shrink-map
阬	坑	shinji-kyuji	mj-shrink-map
阳	陽	shinji-kyuji	mj-shrink-map
阴	陰	shinji-kyuji	mj-shrink-map
陦	島	shinji-kyuji	mj-shrink-map
陷	陥	shinji-kyuji	mj-shrink-map
隂	陰	shinji-kyuji	mj-shrink-map
隄	堤	shinji-kyuji	mj-shrink-map
隨	随	shinji-kyuji	mj-shrink-map
險	険	shinji-kyuji	mj-shrink-map
隯	島	shinji-kyuji	mj-shrink-map
隸	隷	shinji-kyuji	mj-shrink-map
雙	双	shinji-kyuji	mj-shrink-map
雜	雑	shinji-kyuji	mj-shrink-map
雞	鶏	shinji-kyuji	mj-shrink-map
靁	雷	shinji-kyuji	mj-shrink-map
靈	霊	shinji-kyuji	mj-shrink-map
靎	鶴	shinji-kyuji	mj-shrink-map
靏	鶴	shinji-kyuji	mj-shrink-map
靜	静	shinji-kyuji	mj-shrink-map
鞾	靴	shinji-kyuji	mj-shrink-map
頬	頰	shinji-kyuji	mj-shrink-map
顏	顔	shinji-kyuji	mj-shrink-map
顯	顕	shinji-kyuji	mj-shrink-map
颿	帆	shinji-kyuji	mj-shrink-map
飮	飲	shinji-kyuji	mj-shrink-map
飰	飯	shinji-kyuji	mj-shrink-map
餘	余	shinji-kyuji	mj-shrink-map
餝	飾	shinji-kyuji	mj-shrink-map
饍	膳	shinji-kyuji	mj-shrink-map
駈	駆	shinji-kyuji	mj-shrink-map
騷	騒	shinji-kyuji	mj-shrink-map
驅	駆	shinji-kyuji	mj-shrink-map
驗	験	shinji-kyuji	mj-shrink-map
驛	駅	shinji-kyuji	mj-shrink-map
髓	髄	shinji-kyuji	mj-shrink-map
體	体	shinji-kyuji	mj-shrink-map
髮	髪	shinji-kyuji	mj-shrink-map
鬪	闘	shinji-kyuji	mj-shrink-map
鬭	闘	shinji-kyuji	mj-shrink-map
鷄	鶏	shinji-kyuji	mj-shrink-map
鹽	塩	shinji-kyuji	mj-shrink-map
麥	麦	shinji-kyuji	mj-shrink-map
黃	黄	shinji-kyuji	mj-shrink-map
黏	粘	shinji-kyuji	mj-shrink-map
黑	黒	shinji-kyuji	mj-shrink-map
默	黙	shinji-kyuji	mj-shrink-map
點	点	shinji-kyuji	mj-shrink-map
黨	党	shinji-kyuji	mj-shrink-map
齅	嗅	shinji-kyuji	mj-shrink-map
齊	斉	shinji-kyuji	mj-shrink-map
齒	歯	shinji-kyuji	mj-shrink-map
齡	齢	shinji-kyuji	mj-shrink-map
龍	竜	shinji-kyuji	mj-shrink-map
龜	亀	shinji-kyuji	mj-shrink-map
龝	秋	shinji-kyuji	mj-shrink-map
龢	和	shinji-kyuji	mj-shrink-map
〆	乄	itaiji	mj-main-table
㡌	帽	itaiji	mj-main-table
㨂	揀	itaiji	mj-main-table
㭸	梚	itaiji	mj-main-table
㵎	澗	itaiji	mj-main-table
䆋	龝	itaiji	mj-main-table
䐁	豚	itaiji	mj-main-table
䑃	朦	itaiji	mj-main-table
䦨	闌	itaiji	mj-main-table
丑	丒	itaiji	mj-main-table
丗	𠀍	itaiji	mj-main-table
亭	𠅘	itaiji	mj-main-table
亮	𠅙	itaiji	mj-main-table
亳	𠅢	itaiji	mj-main-table
仐	𠓝	itaiji	mj-main-table
俞	兪	itaiji	mj-main-table
偷	偸	itaiji	mj-main-table
僩	僴	itaiji	mj-main-table
允	𠘭	itaiji	mj-main-table
兌	兑	itaiji	mj-main-table
冊	𠕁	itaiji	mj-main-table
冕	𠕤	itaiji	mj-main-table
凵	𠙴	itaiji	mj-main-table
刑	𠛬	itaiji	mj-main-table
删	刪	itaiji	mj-main-table
別	别	itaiji	mj-main-table
刹	剎	itaiji	mj-main-table
匕	𠤎	itaiji	mj-main-table
卉	𠦄	itaiji	mj-main-table
即	卽	itaiji	mj-main-table
収	𠬞	itaiji	mj-main-table
吉	𠮷	itaiji	mj-main-table
吳	呉	itaiji	mj-main-table
吶	呐	itaiji	mj-main-table
吿	告	itaiji	mj-main-table
唧	喞	itaiji	mj-main-table
喩	喻	itaiji	mj-main-table
増	增	itaiji	mj-main-table
壯	𡉟	itaiji	mj-main-table
売	壳	itaiji	mj-main-table
姫	姬	itaiji	mj-main-table
娛	娯	itaiji	mj-main-table
娩	婏	itaiji	mj-main-table
嫺	𡢃	itaiji	mj-main-table
孳	孶	itaiji	mj-main-table
寃	𡨚	itaiji	mj-main-table
寛	寬	itaiji	mj-main-table
少	𣥂	itaiji	mj-main-table
尒	𡭗	itaiji	mj-main-table
尓	尔	itaiji	mj-main-table
尙	尚	itaiji	mj-main-table
尢	𡯁	itaiji	mj-main-table
尣	𡯂	itaiji	mj-main-table
巛	𡿦	itaiji	mj-main-table
巿	市	itaiji	mj-main-table
庶	庻	itaiji	mj-main-table
廄	廏	itaiji	mj-main-table
弑	弒	itaiji	mj-main-table
弓	𢎗	itaiji	mj-main-table
弓	𢎜	itaiji	mj-main-table
強	强	itaiji	mj-main-table
彐	彑	itaiji	mj-main-table
当	𢑐	itaiji	mj-main-table
彔	录	itaiji	mj-main-table
彙	彚	itaiji	mj-main-table
彛	彜	itaiji	mj-main-table
彝	彞	itaiji	mj-main-table
彥	彦	itaiji	mj-main-table
徴	徵	itaiji	mj-main-table
悅	悦	itaiji	mj-main-table
悩	𢚰	itaiji	mj-main-table
愠	慍	itaiji	mj-main-table
慿	憑	itaiji	mj-main-table
戯	戱	itaiji	mj-main-table
戶	戸	itaiji	mj-main-table
敎	教	itaiji	mj-main-table
既	旣	itaiji	mj-main-table
昂	昻	itaiji	mj-main-table
晟	𠕠	itaiji	mj-main-table
暨	曁	itaiji	mj-main-table
朐	胊	itaiji	mj-main-table
朘	脧	itaiji	mj-main-table
朧	𦢫	itaiji	mj-main-table
杞	𣏌	itaiji	mj-main-table
杮	柿	itaiji	mj-main-table
杲	𠕖	itaiji	mj-main-table
枴	柺	itaiji	mj-main-table
查	査	itaiji	mj-main-table
柵	栅	itaiji	mj-main-table
梍	梎	itaiji	mj-main-table
梲	棁	itaiji	mj-main-table
楡	榆	itaiji	mj-main-table
概	槪	itaiji	mj-main-table
榅	榲	itaiji	mj-main-table
橌	橺	itaiji	mj-main-table
櫪	𭬒	itaiji	mj-main-table
歲	歳	itaiji	mj-main-table
毀	毁	itaiji	mj-main-table
汨	汩	itaiji	mj-main-table
涿	𣵠	itaiji	mj-main-table
淸	清	itaiji	mj-main-table
瀝	𤁋	itaiji	mj-main-table
煕	𤋮	itaiji	mj-main-table
熏	𤋱	itaiji	mj-main-table
燗	𤏐	itaiji	mj-main-table
獵	𤢪	itaiji	mj-main-table
玆	茲	itaiji	mj-main-table
玉	王	itaiji	mj-main-table
產	産	itaiji	mj-main-table
畫	畵	itaiji	mj-main-table
痩	瘦	itaiji	mj-main-table
癇	癎	itaiji	mj-main-table
癧	𭼰	itaiji	mj-main-table
皀	皂	itaiji	mj-main-table
睁	睜	itaiji	mj-main-table
研	硏	itaiji	mj-main-table
磁	𥔵	itaiji	mj-main-table
磵	礀	itaiji	mj-main-table
稅	税	itaiji	mj-main-table
稽	𥡴	itaiji	mj-main-table
笄	筓	itaiji	mj-main-table
簡	𥳑	itaiji	mj-main-table
絕	絶	itaiji	mj-main-table
緼	縕	itaiji	mj-main-table
繈	繦	itaiji	mj-main-table
繝	𦅘	itaiji	mj-main-table
聴	𦗟	itaiji	mj-main-table
胼	腁	itaiji	mj-main-table
脫	脱	itaiji	mj-main-table
腽	膃	itaiji	mj-main-table
苟	茍	itaiji	mj-main-table
荆	荊	itaiji	mj-main-table
莧	萈	itaiji	mj-main-table
莬	菟	itaiji	mj-main-table
蕑	蕳	itaiji	mj-main-table
蕰	薀	itaiji	mj-main-table
薫	薰	itaiji	mj-main-table
藴	蘊	itaiji	mj-main-table
蘓	𧁨	itaiji	mj-main-table
蛻	蜕	itaiji	mj-main-table
蝀	𧍴	itaiji	mj-main-table
衡	𢖍	itaiji	mj-main-table
襇	襉	itaiji	mj-main-table
說	説	itaiji	mj-main-table
諄	𧩽	itaiji	mj-main-table
豕	豖	itaiji	mj-main-table
象	𧰼	itaiji	mj-main-table
輼	轀	itaiji	mj-main-table
轣	𮝬	itaiji	mj-main-table
迸	逬	itaiji	mj-main-table
邢	郉	itaiji	mj-main-table
郷	鄕	itaiji	mj-main-table
醖	醞	itaiji	mj-main-table
銳	鋭	itaiji	mj-main-table
鎖	鎻	itaiji	mj-main-table
閏	𨳝	itaiji	mj-main-table
閒	間	itaiji	mj-main-table
閱	閲	itaiji	mj-main-table
隙	𨻶	itaiji	mj-main-table
靂	𮦷	itaiji	mj-main-table
靑	青	itaiji	mj-main-table
頹	頽	itaiji	mj-main-table
駢	騈	itaiji	mj-main-table
高	髙	itaiji	mj-main-table
鼡	𡿳	itaiji	mj-main-table
𢎗	𢎜	itaiji	mj-main-table
