# MJ文字情報一覧表 変体仮名編 Ver.002.01
# publisher: 文字情報技術促進協議会（IPA 文字情報基盤）
# url: https://moji.or.jp/mojikiban/mjlist/
# access: https://moji.or.jp/wp-content/mojikiban/oscdl/MJIH00201-ods.zip
# archive: MJIH00201-ods.zip, 240803 bytes, sha256 b9f8125b20ab4c5fd1fd4f860834939b463a50641668901258dc65bf4c9b3fa6
# licence: CC-BY-SA-2.1-JP (https://moji.or.jp/mojikiban/mjlist/)
# attribution: 文字情報基盤 MJ文字情報一覧表 変体仮名編（IPA）, CC BY-SA 2.1 JP
# columns: mj, code_point, name, jibo, jibo_code_point, readings, koseki, gakujutsu, ninjal_url, note
# ODS columns read: MJ文字図形名, font文字, 図形, CharacterName, UCS符号位置, 字母, 字母のUCS符号位置, 音価１, 音価２, 音価３, 戸籍統一文字番号, 学術用変体仮名番号, 国語研URL, 備考
# readings joins 音価１, 音価２ and 音価３ with /; note carries 備考 verbatim.
# rows: 299, with a code point: 286, without: 13
mj	code_point	name	jibo	jibo_code_point	readings	koseki	gakujutsu	ninjal_url	note
MJ090164	U+1B09F	HENTAIGANA LETTER HA-2	半	U+534A	は		260020010	https://cid.ninjal.ac.jp/kana/detail/260020010	
MJ090165	U+1B0A0	HENTAIGANA LETTER HA-3	婆	U+5A46	は		260030010	https://cid.ninjal.ac.jp/kana/detail/260030010	
MJ090166	U+1B0A1	HENTAIGANA LETTER HA-4	波	U+6CE2	は		260040010	https://cid.ninjal.ac.jp/kana/detail/260040010	
MJ090167	U+1B0A2	HENTAIGANA LETTER HA-5	盤	U+76E4	は		260050010	https://cid.ninjal.ac.jp/kana/detail/260050010	
MJ090168	U+1B0A3	HENTAIGANA LETTER HA-6	盤	U+76E4	は	900840	260050020	https://cid.ninjal.ac.jp/kana/detail/260050020	
MJ090169	U+1B0A4	HENTAIGANA LETTER HA-7	破	U+7834	は		260060010	https://cid.ninjal.ac.jp/kana/detail/260060010	
MJ090170	U+1B0A5	HENTAIGANA LETTER HA-8	者	U+8005	は		260080010	https://cid.ninjal.ac.jp/kana/detail/260080010	
MJ090171	U+1B0A6	HENTAIGANA LETTER HA-9	者	U+8005	は	900820	260080020	https://cid.ninjal.ac.jp/kana/detail/260080020	
MJ090172	U+1B0A7	HENTAIGANA LETTER HA-10	葉	U+8449	は	900850	260100010	https://cid.ninjal.ac.jp/kana/detail/260100010	
MJ090173	U+1B0A8	HENTAIGANA LETTER HA-11	頗	U+9817	は		260110010	https://cid.ninjal.ac.jp/kana/detail/260110010	
MJ090174	U+1B0A9	HENTAIGANA LETTER HI-1	悲	U+60B2	ひ	900880	270020010	https://cid.ninjal.ac.jp/kana/detail/270020010	
MJ090175	U+1B0AA	HENTAIGANA LETTER HI-2	日	U+65E5	ひ		270030010	https://cid.ninjal.ac.jp/kana/detail/270030010	
MJ090176	U+1B0AB	HENTAIGANA LETTER HI-3	比	U+6BD4	ひ	900860	270040010	https://cid.ninjal.ac.jp/kana/detail/270040010	
MJ090177	U+1B0AC	HENTAIGANA LETTER HI-4	避	U+907F	ひ		270050010	https://cid.ninjal.ac.jp/kana/detail/270050010	
MJ090178	U+1B0AD	HENTAIGANA LETTER HI-5	非	U+975E	ひ	900890	270060010	https://cid.ninjal.ac.jp/kana/detail/270060010	
MJ090179	U+1B0AE	HENTAIGANA LETTER HI-6	飛	U+98DB	ひ	900870	270070010	https://cid.ninjal.ac.jp/kana/detail/270070010	
MJ090180	U+1B0AF	HENTAIGANA LETTER HI-7	飛	U+98DB	ひ		270070020	https://cid.ninjal.ac.jp/kana/detail/270070020	
MJ090181	U+1B0B0	HENTAIGANA LETTER HU-1	不	U+4E0D	ふ	900900	280010010	https://cid.ninjal.ac.jp/kana/detail/280010010	
MJ090182	U+1B0B1	HENTAIGANA LETTER HU-2	婦	U+5A66	ふ	900910	280020010	https://cid.ninjal.ac.jp/kana/detail/280020010	
MJ090183	U+1B0B2	HENTAIGANA LETTER HU-3	布	U+5E03	ふ	900920	280030010	https://cid.ninjal.ac.jp/kana/detail/280030010	
MJ090184	U+1B0B3	HENTAIGANA LETTER HE-1	倍	U+500D	へ		290010010	https://cid.ninjal.ac.jp/kana/detail/290010010	
MJ090186	U+1B0B4	HENTAIGANA LETTER HE-2	弊	U+5F0A	へ	900960			
MJ090185	U+1B0B5	HENTAIGANA LETTER HE-3	弊	U+5F0A	へ		290030020	https://cid.ninjal.ac.jp/kana/detail/290030020	
MJ090187	U+1B0B6	HENTAIGANA LETTER HE-4	遍	U+904D	へ	900930	290050010	https://cid.ninjal.ac.jp/kana/detail/290050010	
MJ090188	U+1B0B7	HENTAIGANA LETTER HE-5	邊	U+908A	へ	900950	290060010	https://cid.ninjal.ac.jp/kana/detail/290060010	
MJ090189	U+1B0B8	HENTAIGANA LETTER HE-6	邊	U+908A	へ	900940			
MJ090190	U+1B0B9	HENTAIGANA LETTER HE-7	部	U+90E8	へ		290070020	https://cid.ninjal.ac.jp/kana/detail/290070020	
MJ090191	U+1B0BA	HENTAIGANA LETTER HO-1	保	U+4FDD	ほ	901000	300010010	https://cid.ninjal.ac.jp/kana/detail/300010010	
MJ090192	U+1B0BB	HENTAIGANA LETTER HO-2	保	U+4FDD	ほ	900970	300010030	https://cid.ninjal.ac.jp/kana/detail/300010030	
MJ090193	U+1B0BC	HENTAIGANA LETTER HO-3	報	U+5831	ほ		300020010	https://cid.ninjal.ac.jp/kana/detail/300020010	
MJ090194	U+1B0BD	HENTAIGANA LETTER HO-4	奉	U+5949	ほ		300030010	https://cid.ninjal.ac.jp/kana/detail/300030010	
MJ090195	U+1B0BE	HENTAIGANA LETTER HO-5	寶	U+5BF6	ほ		300040010	https://cid.ninjal.ac.jp/kana/detail/300040010	
MJ090196	U+1B0BF	HENTAIGANA LETTER HO-6	本	U+672C	ほ		300050030	https://cid.ninjal.ac.jp/kana/detail/300050030	
MJ090197	U+1B0C0	HENTAIGANA LETTER HO-7	本	U+672C	ほ	900980	300050010	https://cid.ninjal.ac.jp/kana/detail/300050010	
MJ090198	U+1B0C1	HENTAIGANA LETTER HO-8	豐	U+8C50	ほ	900990			
MJ090199	U+1B0C2	HENTAIGANA LETTER MA-1	万	U+4E07	ま	901030	310010010	https://cid.ninjal.ac.jp/kana/detail/310010010	
MJ090200	U+1B0C3	HENTAIGANA LETTER MA-2	末	U+672B	ま		310020010	https://cid.ninjal.ac.jp/kana/detail/310020010	
MJ090201	U+1B0C4	HENTAIGANA LETTER MA-3	末	U+672B	ま	901010	310020020	https://cid.ninjal.ac.jp/kana/detail/310020020	
MJ090202	U+1B0C5	HENTAIGANA LETTER MA-4	滿	U+6EFF	ま	901020	310030010	https://cid.ninjal.ac.jp/kana/detail/310030010	
MJ090203	U+1B0C6	HENTAIGANA LETTER MA-5	滿	U+6EFF	ま		310030020	https://cid.ninjal.ac.jp/kana/detail/310030020	
MJ090204	U+1B0C7	HENTAIGANA LETTER MA-6	萬	U+842C	ま	901040	310050010	https://cid.ninjal.ac.jp/kana/detail/310050010	
MJ090206	U+1B0C8	HENTAIGANA LETTER MA-7	麻	U+9EBB	ま		310070010	https://cid.ninjal.ac.jp/kana/detail/310070010	
MJ090207	U+1B0C9	HENTAIGANA LETTER MI-1	三	U+4E09	み	901060	320010010	https://cid.ninjal.ac.jp/kana/detail/320010010	
MJ090208	U+1B0CA	HENTAIGANA LETTER MI-2	微	U+5FAE	み		320020010	https://cid.ninjal.ac.jp/kana/detail/320020010	
MJ090209	U+1B0CB	HENTAIGANA LETTER MI-3	美	U+7F8E	み		320030010	https://cid.ninjal.ac.jp/kana/detail/320030010	
MJ090210	U+1B0CC	HENTAIGANA LETTER MI-4	美	U+7F8E	み	901070	320030020	https://cid.ninjal.ac.jp/kana/detail/320030020	
MJ090211	U+1B0CD	HENTAIGANA LETTER MI-5	美	U+7F8E	み		320030030	https://cid.ninjal.ac.jp/kana/detail/320030030	
MJ090212	U+1B0CE	HENTAIGANA LETTER MI-6	見	U+898B	み	901050	320040010	https://cid.ninjal.ac.jp/kana/detail/320040010	
MJ090213	U+1B0CF	HENTAIGANA LETTER MI-7	身	U+8EAB	み	901600	320050010	https://cid.ninjal.ac.jp/kana/detail/320050010	
MJ090216	U+1B0D0	HENTAIGANA LETTER MU-1	武	U+6B66	む	901610			
MJ090217	U+1B0D1	HENTAIGANA LETTER MU-2	無	U+7121	む	901080	330040010	https://cid.ninjal.ac.jp/kana/detail/330040010	
MJ090218	U+1B0D2	HENTAIGANA LETTER MU-3	牟	U+725F	む	901090	330050010	https://cid.ninjal.ac.jp/kana/detail/330050010	
MJ090219	U+1B0D3	HENTAIGANA LETTER MU-4	舞	U+821E	む	901100	330060010	https://cid.ninjal.ac.jp/kana/detail/330060010	
MJ090220	U+1B0D4	HENTAIGANA LETTER ME-1	免	U+514D	め	901110	340010010	https://cid.ninjal.ac.jp/kana/detail/340010010	
MJ090221	U+1B0D5	HENTAIGANA LETTER ME-2	面	U+9762	め	901130	340030010	https://cid.ninjal.ac.jp/kana/detail/340030010	
MJ090222	U+1B0D6	HENTAIGANA LETTER ME-MA	馬	U+99AC	め/ま	901120	340040010	https://cid.ninjal.ac.jp/kana/detail/340040010	
MJ090225	U+1B0D7	HENTAIGANA LETTER MO-1	母	U+6BCD	も		350010010	https://cid.ninjal.ac.jp/kana/detail/350010010	
MJ090226	U+1B0D8	HENTAIGANA LETTER MO-2	毛	U+6BDB	も		350020010	https://cid.ninjal.ac.jp/kana/detail/350020010	
MJ090227	U+1B0D9	HENTAIGANA LETTER MO-3	毛	U+6BDB	も	901140	350020020	https://cid.ninjal.ac.jp/kana/detail/350020020	
MJ090228	U+1B0DA	HENTAIGANA LETTER MO-4	毛	U+6BDB	も		350020060	https://cid.ninjal.ac.jp/kana/detail/350020060	
MJ090229	U+1B0DB	HENTAIGANA LETTER MO-5	茂	U+8302	も	901150	350030010	https://cid.ninjal.ac.jp/kana/detail/350030010	
MJ090230	U+1B0DC	HENTAIGANA LETTER MO-6	裳	U+88F3	も	901160	350040010	https://cid.ninjal.ac.jp/kana/detail/350040010	
MJ090231	U+1B0DD	HENTAIGANA LETTER YA-1	也	U+4E5F	や		360010020	https://cid.ninjal.ac.jp/kana/detail/360010020	
MJ090232	U+1B0DE	HENTAIGANA LETTER YA-2	也	U+4E5F	や		360010030	https://cid.ninjal.ac.jp/kana/detail/360010030	
MJ090234	U+1B0DF	HENTAIGANA LETTER YA-3	屋	U+5C4B	や	901170	360040010	https://cid.ninjal.ac.jp/kana/detail/360040010	
MJ090236	U+1B0E0	HENTAIGANA LETTER YA-4	耶	U+8036	や	901190			
MJ090235	U+1B0E1	HENTAIGANA LETTER YA-5	耶	U+8036	や		360050020	https://cid.ninjal.ac.jp/kana/detail/360050020	
MJ090233	U+1B0E2	HENTAIGANA LETTER YA-YO	夜	U+591C	や/よ	901180	360030010	https://cid.ninjal.ac.jp/kana/detail/360030010	
MJ090237	U+1B0E3	HENTAIGANA LETTER YU-1	游	U+6E38	ゆ	901620			
MJ090238	U+1B0E4	HENTAIGANA LETTER YU-2	由	U+7531	ゆ	901200	370020010	https://cid.ninjal.ac.jp/kana/detail/370020010	
MJ090239	U+1B0E5	HENTAIGANA LETTER YU-3	由	U+7531	ゆ		370020020	https://cid.ninjal.ac.jp/kana/detail/370020020	
MJ090240	U+1B0E6	HENTAIGANA LETTER YU-4	遊	U+904A	ゆ	901210	370030010	https://cid.ninjal.ac.jp/kana/detail/370030010	
MJ090241	U+1B0E7	HENTAIGANA LETTER YO-1	代	U+4EE3	よ	901240			
MJ090242	U+1B0E8	HENTAIGANA LETTER YO-2	余	U+4F59	よ	901630	380020010	https://cid.ninjal.ac.jp/kana/detail/380020010	
MJ090244	U+1B0E9	HENTAIGANA LETTER YO-3	與	U+8207	よ	901230			
MJ090245	U+1B0EA	HENTAIGANA LETTER YO-4	與	U+8207	よ		380030020	https://cid.ninjal.ac.jp/kana/detail/380030020	
MJ090246	U+1B0EB	HENTAIGANA LETTER YO-5	與	U+8207	よ	901220	380030030	https://cid.ninjal.ac.jp/kana/detail/380030030	
MJ090247	U+1B0EC	HENTAIGANA LETTER YO-6	餘	U+9918	よ		380040010	https://cid.ninjal.ac.jp/kana/detail/380040010	
MJ090249	U+1B0ED	HENTAIGANA LETTER RA-1	羅	U+7F85	ら	901260	390010010	https://cid.ninjal.ac.jp/kana/detail/390010010	
MJ090250	U+1B0EE	HENTAIGANA LETTER RA-2	良	U+826F	ら	901270	390020010	https://cid.ninjal.ac.jp/kana/detail/390020010	
MJ090251	U+1B0EF	HENTAIGANA LETTER RA-3	良	U+826F	ら	901250			
MJ090252	U+1B0F0	HENTAIGANA LETTER RA-4	良	U+826F	ら		390020030	https://cid.ninjal.ac.jp/kana/detail/390020030	
MJ090253	U+1B0F1	HENTAIGANA LETTER RI-1	利	U+5229	り	901280	400010010	https://cid.ninjal.ac.jp/kana/detail/400010010	
MJ090254	U+1B0F2	HENTAIGANA LETTER RI-2	利	U+5229	り		400010020	https://cid.ninjal.ac.jp/kana/detail/400010020	
MJ090255	U+1B0F3	HENTAIGANA LETTER RI-3	李	U+674E	り		400020010	https://cid.ninjal.ac.jp/kana/detail/400020010	
MJ090256	U+1B0F4	HENTAIGANA LETTER RI-4	梨	U+68A8	り	901640	400030010	https://cid.ninjal.ac.jp/kana/detail/400030010	
MJ090257	U+1B0F5	HENTAIGANA LETTER RI-5	理	U+7406	り	901300	400040010	https://cid.ninjal.ac.jp/kana/detail/400040010	
MJ090258	U+1B0F6	HENTAIGANA LETTER RI-6	里	U+91CC	り	901290	400050010	https://cid.ninjal.ac.jp/kana/detail/400050010	
MJ090259	U+1B0F7	HENTAIGANA LETTER RI-7	離	U+96E2	り		400060010	https://cid.ninjal.ac.jp/kana/detail/400060010	
MJ090260	U+1B0F8	HENTAIGANA LETTER RU-1	流	U+6D41	る	901320	410010010	https://cid.ninjal.ac.jp/kana/detail/410010010	
MJ090261	U+1B0F9	HENTAIGANA LETTER RU-2	留	U+7559	る		410020010	https://cid.ninjal.ac.jp/kana/detail/410020010	
MJ090262	U+1B0FA	HENTAIGANA LETTER RU-3	留	U+7559	る	901310	410020020	https://cid.ninjal.ac.jp/kana/detail/410020020	
MJ090263	U+1B0FB	HENTAIGANA LETTER RU-4	留	U+7559	る		410020030	https://cid.ninjal.ac.jp/kana/detail/410020030	
MJ090264	U+1B0FC	HENTAIGANA LETTER RU-5	累	U+7D2F	る		410030010	https://cid.ninjal.ac.jp/kana/detail/410030010	
MJ090265	U+1B0FD	HENTAIGANA LETTER RU-6	類	U+985E	る	901330	410040010	https://cid.ninjal.ac.jp/kana/detail/410040010	
MJ090266	U+1B0FE	HENTAIGANA LETTER RE-1	禮	U+79AE	れ	901650	420010010	https://cid.ninjal.ac.jp/kana/detail/420010010	
MJ090267	U+1B0FF	HENTAIGANA LETTER RE-2	禮	U+79AE	れ	901350	420010030	https://cid.ninjal.ac.jp/kana/detail/420010030	
MJ090268	U+1B100	HENTAIGANA LETTER RE-3	連	U+9023	れ	901340	420020010	https://cid.ninjal.ac.jp/kana/detail/420020010	
MJ090269	U+1B101	HENTAIGANA LETTER RE-4	麗	U+9E97	れ	901360	420030010	https://cid.ninjal.ac.jp/kana/detail/420030010	
MJ090270	U+1B102	HENTAIGANA LETTER RO-1	呂	U+5442	ろ	901370	430020010	https://cid.ninjal.ac.jp/kana/detail/430020010	
MJ090271	U+1B103	HENTAIGANA LETTER RO-2	呂	U+5442	ろ		430020020	https://cid.ninjal.ac.jp/kana/detail/430020020	
MJ090272	U+1B104	HENTAIGANA LETTER RO-3	婁	U+5A41	ろ		430030010	https://cid.ninjal.ac.jp/kana/detail/430030010	
MJ090273	U+1B105	HENTAIGANA LETTER RO-4	樓	U+6A13	ろ	901390	430040010	https://cid.ninjal.ac.jp/kana/detail/430040010	
MJ090274	U+1B106	HENTAIGANA LETTER RO-5	路	U+8DEF	ろ	901380	430050010	https://cid.ninjal.ac.jp/kana/detail/430050010	
MJ090275	U+1B107	HENTAIGANA LETTER RO-6	露	U+9732	ろ	901660	430060010	https://cid.ninjal.ac.jp/kana/detail/430060010	
MJ090276	U+1B108	HENTAIGANA LETTER WA-1	倭	U+502D	わ	901670	440010010	https://cid.ninjal.ac.jp/kana/detail/440010010	
MJ090277	U+1B109	HENTAIGANA LETTER WA-2	和	U+548C	わ	901400	440020010	https://cid.ninjal.ac.jp/kana/detail/440020010	
MJ090278	U+1B10A	HENTAIGANA LETTER WA-3	和	U+548C	わ		440020020	https://cid.ninjal.ac.jp/kana/detail/440020020	
MJ090279	U+1B10B	HENTAIGANA LETTER WA-4	王	U+738B	わ	901410	440030010	https://cid.ninjal.ac.jp/kana/detail/440030010	
MJ090280	U+1B10C	HENTAIGANA LETTER WA-5	王	U+738B	わ	901420			
MJ090281	U+1B10D	HENTAIGANA LETTER WI-1	井	U+4E95	ゐ	901430	450010010	https://cid.ninjal.ac.jp/kana/detail/450010010	
MJ090282	U+1B10E	HENTAIGANA LETTER WI-2	井	U+4E95	ゐ		450010020	https://cid.ninjal.ac.jp/kana/detail/450010020	
MJ090283	U+1B10F	HENTAIGANA LETTER WI-3	居	U+5C45	ゐ	901680			
MJ090284	U+1B110	HENTAIGANA LETTER WI-4	爲	U+7232	ゐ	901440			
MJ090285	U+1B111	HENTAIGANA LETTER WI-5	遺	U+907A	ゐ	901450	450050010	https://cid.ninjal.ac.jp/kana/detail/450050010	
MJ090286	U+1B112	HENTAIGANA LETTER WE-1	惠	U+60E0	ゑ	901460	460010010	https://cid.ninjal.ac.jp/kana/detail/460010010	
MJ090287	U+1B113	HENTAIGANA LETTER WE-2	衞	U+885E	ゑ		460020010	https://cid.ninjal.ac.jp/kana/detail/460020010	
MJ090288	U+1B114	HENTAIGANA LETTER WE-3	衞	U+885E	ゑ		460020020	https://cid.ninjal.ac.jp/kana/detail/460020020	
MJ090289	U+1B115	HENTAIGANA LETTER WE-4	衞	U+885E	ゑ	901470			
MJ090290	U+1B116	HENTAIGANA LETTER WO-1	乎	U+4E4E	を	901500	470010010	https://cid.ninjal.ac.jp/kana/detail/470010010	
MJ090291	U+1B117	HENTAIGANA LETTER WO-2	乎	U+4E4E	を		470010020	https://cid.ninjal.ac.jp/kana/detail/470010020	
MJ090292	U+1B118	HENTAIGANA LETTER WO-3	尾	U+5C3E	を		470020010	https://cid.ninjal.ac.jp/kana/detail/470020010	
MJ090294	U+1B119	HENTAIGANA LETTER WO-4	緒	U+7DD2	を		470030010	https://cid.ninjal.ac.jp/kana/detail/470030010	
MJ090295	U+1B11A	HENTAIGANA LETTER WO-5	越	U+8D8A	を	901490	470040010	https://cid.ninjal.ac.jp/kana/detail/470040010	
MJ090296	U+1B11B	HENTAIGANA LETTER WO-6	遠	U+9060	を	901480	470050010	https://cid.ninjal.ac.jp/kana/detail/470050010	
MJ090297	U+1B11C	HENTAIGANA LETTER WO-7	遠	U+9060	を		470050020	https://cid.ninjal.ac.jp/kana/detail/470050020	
MJ090299	U+1B11D	HENTAIGANA LETTER N-MU-MO-1	无	U+65E0	ん/む/も	901520			
MJ090298	U+1B11E	HENTAIGANA LETTER N-MU-MO-2	无	U+65E0	ん/む/も	901510	330020010	https://cid.ninjal.ac.jp/kana/detail/330020010	
MJ090039			期	U+671F	き		100040010	https://cid.ninjal.ac.jp/kana/detail/100040010	MJ090061へ統合
MJ090053			家	U+5BB6	け		060060010	https://cid.ninjal.ac.jp/kana/detail/060060010	MJ090028へ統合
MJ090059			子	U+5B50	こ		240010010	https://cid.ninjal.ac.jp/kana/detail/240010010	MJ090151へ統合
MJ090121			而	U+800C	て		220070010	https://cid.ninjal.ac.jp/kana/detail/220070010	MJ090146へ統合
MJ090125			徒	U+5F92	と		180020010	https://cid.ninjal.ac.jp/kana/detail/180020010	MJ090110へ統合
MJ090205			馬	U+99AC	ま		340040010	https://cid.ninjal.ac.jp/kana/detail/340040010	MJ090222へ統合
MJ090214			无	U+65E0	む		330020010	https://cid.ninjal.ac.jp/kana/detail/330020010	MJ090298へ統合
MJ090215			无	U+65E0	む				MJ090299へ統合
MJ090223			无	U+65E0	も				MJ090299へ統合
MJ090224			无	U+65E0	も		330020010	https://cid.ninjal.ac.jp/kana/detail/330020010	MJ090298へ統合
MJ090243			夜	U+591C	よ		360030010	https://cid.ninjal.ac.jp/kana/detail/360030010	MJ090233へ統合
MJ090248			等	U+7B49	ら		200080010	https://cid.ninjal.ac.jp/kana/detail/200080010	MJ090130へ統合
MJ090293			惡	U+60E1	を		010020010	https://cid.ninjal.ac.jp/kana/detail/010020010	MJ090002へ統合
